Date,Close,High,Low,Open,Volume
1980/12/12,0.098725922,0.099155142,0.098725922,0.098725922,469033600
1980/12/15,0.093575343,0.094004563,0.093575343,0.094004563,175884800
1980/12/16,0.086707115,0.087136329,0.086707115,0.087136329,105728000
1980/12/17,0.088853203,0.089282422,0.088853203,0.088853203,86441600
1980/12/18,0.091429241,0.091858455,0.091429241,0.091429241,73449600
1980/12/19,0.097009085,0.097438305,0.097009085,0.097009085,48630400
1980/12/22,0.101730466,0.102160453,0.101730466,0.101730466,37363200
1980/12/23,0.106023371,0.106452591,0.106023371,0.106023371,46950400
1980/12/24,0.111603186,0.112032405,0.111603186,0.111603186,48003200
1980/12/26,0.121905133,0.122334352,0.121905133,0.121905133,55574400
1980/12/29,0.123622015,0.124051234,0.123622015,0.123622015,93161600
1980/12/30,0.120617501,0.121046709,0.120617501,0.121046709,68880000
1980/12/31,0.117183775,0.117612994,0.117183775,0.117612994,35750400
1981/1/2,0.118471429,0.119329867,0.118471429,0.118471429,21660800
1981/1/5,0.115896128,0.116325336,0.115896128,0.116325336,35728000
1981/1/6,0.110744812,0.111174031,0.110744812,0.111174031,45158400
1981/1/7,0.106023371,0.106452591,0.106023371,0.106452591,55686400
1981/1/8,0.103877306,0.104306514,0.103877306,0.104306514,39827200
1981/1/9,0.109457083,0.109886302,0.109457083,0.109457083,21504000
1981/1/12,0.108598657,0.109457084,0.108598657,0.109457084,23699200
1981/1/13,0.10473574,0.105164959,0.10473574,0.105164959,23049600
1981/1/14,0.10516493,0.105594149,0.10516493,0.10516493,14291200
1981/1/15,0.10731104,0.108169467,0.10731104,0.10731104,14067200
1981/1/16,0.106452622,0.106881841,0.106452622,0.106881841,13395200
1981/1/19,0.112890854,0.113320074,0.112890854,0.112890854,41574400
1981/1/20,0.109457083,0.109886302,0.109457083,0.109886302,30083200
1981/1/21,0.111603186,0.112461613,0.111603186,0.111603186,15904000
1981/1/22,0.112890854,0.113749293,0.112890854,0.112890854,35548800
1981/1/23,0.112461701,0.11332014,0.112461701,0.112890921,11222400
1981/1/26,0.110744812,0.111174031,0.110744812,0.111174031,24640000
